Grundform Verb,,Präsens alanyi,,,,,,Präsens targyas,,,,,,Vergangenheit alanyi ,,,,,,Vergangenheit targyas,,,,,,Zukunft alanyi,,,,,,Zukunft targyas,,,,,
,Übersetzung,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők
állni,stehen,állok,állsz,áll,állunk,álltok,állnak,állom,állod,állja,álljuk,álljátok,állják,álltam,álltál,állt,álltunk,álltatok,álltak,álltam,álltad,állta,álltuk,álltátok,állták,fogok állni,fogsz állni,fog állni,fogunk állni,fogtok állni,fognak állni,fogom állni,fogod állni,fogja állni,fogjuk állni,fogjátok állni,fogják állni
tálalni,finden,tálalok,tálalsz,tálal,tálalunk,tálaltok,tálalnak,tálalom,tálalod,tálalja,tálaljuk,tálaljátok,tálalják,tálaltam,tálaltál,tálalt,tálaltunk,tálaltatok,tálaltak,tálaltam,tálaltad,tálalta,tálaltuk,tálaltátok,tálalták,fogok tálalni,fogsz tálalni,fog tálalni,fogunk tálalni,fogtok tálalni,fognak tálalni,fogom tálalni,fogod tálalni,fogja tálalni,fogjuk tálalni,fogjátok tálalni,fogják tálalni
maradni,bleiben,maradok,maradsz,marad,maradunk,maradtok,maradnak,maradtam,maradtál,maradt,maradtunk,maradtatok,maradtak,maradnék,maradnál,maradna,maradnánk,maradnátok,maradnának,maradtam volna,maradtál volna,maradt volna,maradtunk volna,maradtatok volna,maradtak volna,,,,,,,,,,,,
feküdni,liegen,fekszem,fekszel,fekszik,fekszünk,fekszetek,fekszenek,feküdtem,feküdtél,feküdt,feküdtünk,feküdtetek,feküdtek,feküdnék,feküdnél,feküdne,feküdnénk,feküdnétek,feküdnének,feküdtem volna,feküdtél volna,feküdt volna,feküdtünk volna,feküdtetek volna,feküdtek volna,,,,,,,,,,,,
gondolni,denken,gondolok,gondolsz,gondol,gondolunk,gondoltok,gondolnak,gondolom,gondolod,gondolja,gondoljuk,gondoljátok,gondolják,gondoltam,gondoltál,gondolt,gondoltunk,gondoltatok,gondoltak,gondoltam,gondoltad,gondolta,gondoltuk,gondoltátok,gondolták,fogok gondolni,fogsz gondolni,fog gondolni,fogunk gondolni,fogtok gondolni,fognak gondolni,fogom gondolni,fogod gondolni,fogja gondolni,fogjuk gondolni,fogjátok gondolni,fogják gondolni
venni,nehmen,veszek,veszel,vesz,veszünk,vesztek,vesznek,veszem,veszed,veszi,vesszük,veszitek,veszik,vettem,vettél,vett,vettünk,vettetek,vettek,vettem,vetted,vette,vettük,vettétek,vették,fogok venni,fogsz venni,fog venni,fogunk venni,fogtok venni,fognak venni,fogom venni,fogod venni,fogja venni,fogjuk venni,fogjátok venni,fogják venni
tenni,tun,teszek,teszel,tesz,teszünk,tesztek,tesznek,teszem,teszed,teszi,tesszük,teszitek,teszik,tettem,tettél,tett,tettünk,tettetek,tettek,tettem,tetted,tette,tettük,tettétek,tették,fogok tenni,fogsz tenni,fog tenni,fogunk tenni,fogtok tenni,fognak tenni,fogom tenni,fogod tenni,fogja tenni,fogjuk tenni,fogjátok tenni,fogják tenni
tehetni,dürfen,tehetek,tehetsz,tehet,tehetünk,tehettek,tehetnek,tehetem,teheted,teheti,tehetjük,tehetitek,tehetik,tehettem,tehettél,tehetett,tehettünk,tehettetek,tehettek,tehettem,tehetted,tehette,tehettük,tehettétek,tehették,fogok tegezni,fogsz tegezni,fog tegezni,fogunk tegezni,fogtok tegezni,fognak tegezni,fogom tegezni,fogod tegezni,fogja tegezni,fogjuk tegezni,fogjátok tegezni,fogják tegezni
hinni,glauben,hiszek,hiszel,hisz,hiszünk,hisztek,hisznek,hiszem,hiszed,hiszi,hisszük,hiszitek,hiszik,hittem,hittél,hitt,hittünk,hittetek,hittek,hittem,hitted,hitte,hittük,hittétek,hitték,fogok hinni,fogsz hinni,fog hinni,fogunk hinni,fogtok hinni,fognak hinni,fogom hinni,fogod hinni,fogja hinni,fogjuk hinni,fogjátok hinni,fogják hinni
tartani,halten,tartok,tartasz,tart,tartunk,tartotok,tartanak,tartom,tartod,tartja,tartjuk,tartjátok,tartják,tartottam,tartottál,tartott,tartottunk,tartottatok,tartottak,tartottam,tartottad,tartotta,tartottuk,tartottátok,tartották,fogok tartani,fogsz tartani,fog tartani,fogunk tartani,fogtok tartani,fognak tartani,fogom tartani,fogod tartani,fogja tartani,fogjuk tartani,fogjátok tartani,fogják tartani
nevezni,nennen,nevezek,nevezel,nevez,nevezünk,neveztek,neveznek,nevezem,nevezed,nevezi,nevezzük,nevezitek,nevezik,neveztem,neveztél,nevezett,neveztünk,neveztetek,neveztek,neveztem,nevezted,nevezte,neveztük,neveztétek,nevezték,fogok nevezni,fogsz nevezni,fog nevezni,fogunk nevezni,fogtok nevezni,fognak nevezni,fogom nevezni,fogod nevezni,fogja nevezni,fogjuk nevezni,fogjátok nevezni,fogják nevezni
kedvelni,mögen,kedvelek,kedvelsz,kedvel,kedvelünk,kedveltek,kedvelnek,kedvelem,kedveled,kedveli,kedveljük,kedvelitek,kedvelik,kedveltem,kedveltél,kedvelt,kedveltünk,kedveltetek,kedveltek,kedveltem,kedvelted,kedvelte,kedveltük,kedveltétek,kedvelték,fogok kedvelni,fogsz kedvelni,fog kedvelni,fogunk kedvelni,fogtok kedvelni,fognak kedvelni,fogom kedvelni,fogod kedvelni,fogja kedvelni,fogjuk kedvelni,fogjátok kedvelni,fogják kedvelni
mutatni,zeigen,mutatok,mutatsz,mutat,mutatunk,mutattok,mutatnak,mutatom,mutatod,mutatja,mutatjuk,mutatjátok,mutatják,mutattam,mutattál,mutatott,mutattunk,mutattatok,mutattak,mutattam,mutattad,mutatta,mutattuk,mutattátok,mutatták,fogok mutatni,fogsz mutatni,fog mutatni,fogunk mutatni,fogtok mutatni,fognak mutatni,fogom mutatni,fogod mutatni,fogja mutatni,fogjuk mutatni,fogjátok mutatni,fogják mutatni
vezetni,führen,vezetek,vezetsz,vezet,vezetünk,vezettek,vezetnek,vezetem,vezeted,vezeti,vezetjük,vezetitek,vezetik,vezettem,vezettél,vezetett,vezettünk,vezettetek,vezettek,vezettem,vezetted,vezette,vezettük,vezettétek,vezették,fogok vezetni,fogsz vezetni,fog vezetni,fogunk vezetni,fogtok vezetni,fognak vezetni,fogom vezetni,fogod vezetni,fogja vezetni,fogjuk vezetni,fogjátok vezetni,fogják vezetni
beszélni,sprechen,beszélek,beszélsz,beszél,beszélünk,beszéltek,beszélnek,beszélem,beszéled,beszéli,beszéljük,beszélitek,beszélik,beszéltem,beszéltél,beszélt,beszéltünk,beszéltetek,beszéltek,beszéltem,beszélted,beszélte,beszéltük,beszéltétek,beszélték,fogok beszélni,fogsz beszélni,fog beszélni,fogunk beszélni,fogtok beszélni,fognak beszélni,fogom beszélni,fogod beszélni,fogja beszélni,fogjuk beszélni,fogjátok beszélni,fogják beszélni
hozni,bringen,hozok,hozol,hoz,hozunk,hoztok,hoznak,hozom,hozod,hozza,hozzuk,hozzátok,hozzák,hoztam,hoztál,hozott,hoztunk,hoztatok,hoztak,hoztam,hoztad,hozta,hoztuk,hoztátok,hozták,fogok hozni,fogsz hozni,fog hozni,fogunk hozni,fogtok hozni,fognak hozni,fogom hozni,fogod hozni,fogja hozni,fogjuk hozni,fogjátok hozni,fogják hozni
élni,leben,élek,élsz,él,élünk,éltek,élnek,élem,éled,éli,éljük,élitek,élik,éltem,éltél,élt,éltünk,éltetek,éltek,éltem,élted,élte,éltük,éltétek,élték,fogok élni,fogsz élni,fog élni,fogunk élni,fogtok élni,fognak élni,fogom élni,fogod élni,fogja élni,fogjuk élni,fogjátok élni,fogják élni
utazni,fahren,utazom,utazol,utazik,utazunk,utaztok,utaznak,utaztam,utaztál,utazott,utaztunk,utaztatok,utaztak,utaznék,utaznál,utazna,utaznánk,utaznátok,utaznának,utaztam volna,utaztál volna,utazott volna,utaztunk volna,utaztatok volna,utaztak volna,,,,,,,,,,,,
menni,fahren,megyek,mész,megy,megyünk,mentek,mennek,mentem,mentél,ment,mentünk,mentetek,mentek,mennék,mennél,menne,mennénk,mennétek,mennének,mentem volna,mentél volna,ment volna,mentünk volna,mentetek volna,mentek volna,,,,,,,,,,,,
vélni,meinen,vélek,vélsz,vél,vélünk,véltek,vélnek,vélem,véled,véli,véljük,vélitek,vélik,véltem,véltél,vélt,véltünk,véltetek,véltek,véltem,vélted,vélte,véltük,véltétek,vélték,fogok vélni,fogsz vélni,fog vélni,fogunk vélni,fogtok vélni,fognak vélni,fogom vélni,fogod vélni,fogja vélni,fogjuk vélni,fogjátok vélni,fogják vélni
kérdezni,fragen,kérdezek,kérdezel,kérdez,kérdezünk,kérdeztek,kérdeznek,kérdezem,kérdezed,kérdezi,kérdezzük,kérdezitek,kérdezik,kérdeztem,kérdeztél,kérdezett,kérdeztünk,kérdeztetek,kérdeztek,kérdeztem,kérdezted,kérdezte,kérdeztük,kérdeztétek,kérdezték,fogok kérdezni,fogsz kérdezni,fog kérdezni,fogunk kérdezni,fogtok kérdezni,fognak kérdezni,fogom kérdezni,fogod kérdezni,fogja kérdezni,fogjuk kérdezni,fogjátok kérdezni,fogják kérdezni
ismerni,kennen,ismerek,ismersz,ismer,ismerünk,ismertek,ismernek,ismerem,ismered,ismeri,ismerjük,ismeritek,ismerik,ismertem,ismertél,ismert,ismertünk,ismertetek,ismertek,ismertem,ismerted,ismerte,ismertük,ismertétek,ismerték,fogok ismerni,fogsz ismerni,fog ismerni,fogunk ismerni,fogtok ismerni,fognak ismerni,fogom ismerni,fogod ismerni,fogja ismerni,fogjuk ismerni,fogjátok ismerni,fogják ismerni
aludni,schlafen,alszom,alszol,alszik,alszunk,alszotok,alszanak,aludtam,aludtál,aludt,aludtunk,aludtatok,aludtak,aludnék,aludnál,aludna,aludnánk,aludnátok,aludnának,aludtam volna,aludtál volna,aludt volna,aludtunk volna,aludtatok volna,aludtak volna,,,,,,,,,,,,
vásárolni,kaufen,vásárlok,vásárolsz,vásárol,vásárlunk,vásároltok,vásárolnak,vásárlom,vásárlod,vásárolja,vásároljuk,vásároljátok,vásárolják,vásároltam,vásároltál,vásárolt,vásároltunk,vásároltatok,vásároltak,vásároltam,vásároltad,vásárolta,vásároltuk,vásároltátok,vásárolták,fogok vásárolni,fogsz vásárolni,fog vásárolni,fogunk vásárolni,fogtok vásárolni,fognak vásárolni,fogom vásárolni,fogod vásárolni,fogja vásárolni,fogjuk vásárolni,fogjátok vásárolni,fogják vásárolni
megvenni,kaufen,megveszek,megveszel,megvesz,megveszünk,megvesztek,megvesznek,megveszem,megveszed,megveszi,megvesszük,megveszitek,megveszik,megvettem,megvettél,megvett,megvettünk,megvettetek,megvettek,megvettem,megvetted,megvette,megvettük,megvettétek,megvették,fogok megvenni,fogsz megvenni,fog megvenni,fogunk megvenni,fogtok megvenni,fognak megvenni,fogom megvenni,fogod megvenni,fogja megvenni,fogjuk megvenni,fogjátok megvenni,fogják megvenni
játszani,spielen,játszom,játszol,játszik,játszunk,játszotok,játszanak,játszom,játszod,játssza,játsszuk,játsszátok,játsszák,játszottam,játszottál,játszott,játszottunk,játszottatok,játszottak,játszottam,játszottad,játszotta,játszottuk,játszottátok,játszották,fogok játszani,fogsz játszani,fog játszani,fogunk játszani,fogtok játszani,fognak játszani,fogom játszani,fogod játszani,fogja játszani,fogjuk játszani,fogjátok játszani,fogják játszani
dolgozni,arbeiten,dolgozom,dolgozol,dolgozik,dolgozunk,dolgoztok,dolgoznak,dolgozom,dolgozod,dolgozza,dolgozzuk,dolgozzátok,dolgozzák,dolgoztam,dolgoztál,dolgozott,dolgoztunk,dolgoztatok,dolgoztak,dolgoztam,dolgoztad,dolgozta,dolgoztuk,dolgoztátok,dolgozták,fogok dolgozni,fogsz dolgozni,fog dolgozni,fogunk dolgozni,fogtok dolgozni,fognak dolgozni,fogom dolgozni,fogod dolgozni,fogja dolgozni,fogjuk dolgozni,fogjátok dolgozni,fogják dolgozni
igényelni,brauchen,igénylek,igényelsz,igényel,igénylünk,igényeltek,igényelnek,igénylem,igényled,igényli,igényeljük,igénylitek,igénylik,igényeltem,igényeltél,igényelt,igényeltünk,igényeltetek,igényeltek,igényeltem,igényelted,igényelte,igényeltük,igényeltétek,igényelték,fogok igényelni,fogsz igényelni,fog igényelni,fogunk igényelni,fogtok igényelni,fognak igényelni,fogom igényelni,fogod igényelni,fogja igényelni,fogjuk igényelni,fogjátok igényelni,fogják igényelni
követni + Akkusativ,folgen,követek,követsz,követ,követünk,követtek,követnek,követem,követed,követi,követjük,követitek,követik,követtem,követtél,követett,követtünk,követtetek,követtek,követtem,követted,követte,követtük,követtétek,követték,fogok követni,fogsz követni,fog követni,fogunk követni,fogtok követni,fognak követni,fogom követni,fogod követni,fogja követni,fogjuk követni,fogjátok követni,fogják követni
tanulni,lernen,tanulok,tanulsz,tanul,tanulunk,tanultok,tanulnak,tanulom,tanulod,tanulja,tanuljuk,tanuljátok,tanulják,tanultam,tanultál,tanult,tanultunk,tanultatok,tanultak,tanultam,tanultad,tanulta,tanultuk,tanultátok,tanulták,fogok tanulni,fogsz tanulni,fog tanulni,fogunk tanulni,fogtok tanulni,fognak tanulni,fogom tanulni,fogod tanulni,fogja tanulni,fogjuk tanulni,fogjátok tanulni,fogják tanulni
eladni,verkaufen,eladok,eladsz,elad,eladunk,eladtok,eladnak,eladom,eladod,eladja,eladjuk,eladjátok,eladják,eladtam,eladtál,eladott,eladtunk,eladtatok,eladtak,eladtam,eladtad,eladta,eladtuk,eladtátok,eladták,fogok eladni,fogsz eladni,fog eladni,fogunk eladni,fogtok eladni,fognak eladni,fogom eladni,fogod eladni,fogja eladni,fogjuk eladni,fogjátok eladni,fogják eladni
érteni,verstehen,értek,értesz,ért,értünk,értetek,értenek,értem,érted,érti,értjük,értitek,értik,értettem,értettél,értett,értettünk,értettetek,értettek,értettem,értetted,értette,értettük,értettétek,értették,fogok érteni,fogsz érteni,fog érteni,fogunk érteni,fogtok érteni,fognak érteni,fogom érteni,fogod érteni,fogja érteni,fogjuk érteni,fogjátok érteni,fogják érteni
enni,essen,eszem,eszel,eszik,eszünk,esztek,esznek,eszem,eszed,eszi,esszük,eszitek,eszik,ettem,ettél,evett,ettünk,ettetek,ettek,ettem,etted,ette,ettük,ettétek,ették,fogok enni,fogsz enni,fog enni,fogunk enni,fogtok enni,fognak enni,fogom enni,fogod enni,fogja enni,fogjuk enni,fogjátok enni,fogják enni
kapni,bekommen,kapok,kapsz,kap,kapunk,kaptok,kapnak,kapom,kapod,kapja,kapjuk,kapjátok,kapják,kaptam,kaptál,kapott,kaptunk,kaptatok,kaptak,kaptam,kaptad,kapta,kaptuk,kaptátok,kapták,fogok kapni,fogsz kapni,fog kapni,fogunk kapni,fogtok kapni,fognak kapni,fogom kapni,fogod kapni,fogja kapni,fogjuk kapni,fogjátok kapni,fogják kapni
kezdődni,beginnen,kezdődöm,kezdődsz,kezdődik,kezdődünk,kezdődtök,kezdődnek,kezdődtem,kezdődtél,kezdődött,kezdődtünk,kezdődtetek,kezdődtek,kezdődnék,kezdődnél,kezdődne,kezdődnénk,kezdődnétek,kezdődnének,kezdődtem volna,kezdődtél volna,kezdődött volna,kezdődtünk volna,kezdődtetek volna,kezdődtek volna,,,,,,,,,,,,
mesélni,erzählen,mesélek,mesélsz,mesél,mesélünk,meséltek,mesélnek,mesélem,meséled,meséli,meséljük,mesélitek,mesélik,meséltem,meséltél,mesélt,meséltünk,meséltetek,meséltek,meséltem,mesélted,mesélte,meséltük,meséltétek,mesélték,fogok mesélni,fogsz mesélni,fog mesélni,fogunk mesélni,fogtok mesélni,fognak mesélni,fogom mesélni,fogod mesélni,fogja mesélni,fogjuk mesélni,fogjátok mesélni,fogják mesélni
próbálni,versuchen,próbálok,próbálsz,próbál,próbálunk,próbáltok,próbálnak,próbálom,próbálod,próbálja,próbáljuk,próbáljátok,próbálják,próbáltam,próbáltál,próbált,próbáltunk,próbáltatok,próbáltak,próbáltam,próbáltad,próbálta,próbáltuk,próbáltátok,próbálták,fogok próbálni,fogsz próbálni,fog próbálni,fogunk próbálni,fogtok próbálni,fognak próbálni,fogom próbálni,fogod próbálni,fogja próbálni,fogjuk próbálni,fogjátok próbálni,fogják próbálni
írni,schreiben,írok,írsz,ír,írunk,írtok,írnak,írom,írod,írja,írjuk,írjátok,írják,írtam,írtál,írt,írtunk,írtatok,írtak,írtam,írtad,írta,írtuk,írtátok,írták,fogok írni,fogsz írni,fog írni,fogunk írni,fogtok írni,fognak írni,fogom írni,fogod írni,fogja írni,fogjuk írni,fogjátok írni,fogják írni
futni,laufen,futok,futsz,fut,futunk,futtok,futnak,futom,futod,futja,futjuk,futjátok,futják,futottam,futottál,futott,futottunk,futottatok,futottak,futottam,futottad,futotta,futottuk,futottátok,futották,fogok futni,fogsz futni,fog futni,fogunk futni,fogtok futni,fognak futni,fogom futni,fogod futni,fogja futni,fogjuk futni,fogjátok futni,fogják futni
magyarázni,erklären,magyarázok,magyarázol,magyaráz,magyarázunk,magyaráztok,magyaráznak,magyarázom,magyarázod,magyarázza,magyarázzuk,magyarázzátok,magyarázzák,magyaráztam,magyaráztál,magyarázott,magyaráztunk,magyaráztatok,magyaráztak,magyaráztam,magyaráztad,magyarázta,magyaráztuk,magyaráztátok,magyarázták,fogok magyarázni,fogsz magyarázni,fog magyarázni,fogunk magyarázni,fogtok magyarázni,fognak magyarázni,fogom magyarázni,fogod magyarázni,fogja magyarázni,fogjuk magyarázni,fogjátok magyarázni,fogják magyarázni
megfelelni,entsprechen,megfelelek,megfelelsz,megfelel,megfelelünk,megfeleltek,megfelelnek,megfeleltem,megfeleltél,megfelelt,megfeleltünk,megfeleltetek,megfeleltek,megfelelnék,megfelelnél,megfelelne,megfelelnénk,megfelelnétek,megfelelnének,megfeleltem volna,megfeleltél volna,megfelelt volna,megfeleltünk volna,megfeleltetek volna,megfeleltek volna,,,,,,,,,,,,
ülni,sitzen,ülök,ülsz,ül,ülünk,ültök,ülnek,ülöm,ülöd,üli,üljük,ülitek,ülik,ültem,ültél,ült,ültünk,ültetek,ültek,ültem,ülted,ülte,ültük,ültétek,ülték,fogok ülni,fogsz ülni,fog ülni,fogunk ülni,fogtok ülni,fognak ülni,fogom ülni,fogod ülni,fogja ülni,fogjuk ülni,fogjátok ülni,fogják ülni
húzni,ziehen,húzok,húzol,húz,húzunk,húztok,húznak,húzom,húzod,húzza,húzzuk,húzzátok,húzzák,húztam,húztál,húzott,húztunk,húztatok,húztak,húztam,húztad,húzta,húztuk,húztátok,húzták,fogok húzni,fogsz húzni,fog húzni,fogunk húzni,fogtok húzni,fognak húzni,fogom húzni,fogod húzni,fogja húzni,fogjuk húzni,fogjátok húzni,fogják húzni
tűnni,scheinen,tűnök,tűnsz,tűnik,tűnünk,tűntök,tűnnek,tűntem,tűntél,tűnt,tűntünk,tűntetek,tűntek,tűnnék,tűnnél,tűnne,tűnnénk,tűnnétek,tűnnének,tűntem volna,tűntél volna,tűnt volna,tűntünk volna,tűntetek volna,tűntek volna,,,,,,,,,,,,
esni,fallen,esem,esel,esik,esünk,estek,esnek,estem,estél,esett,estünk,estetek,estek,esnék,esnél,esne,esnénk,esnétek,esnének,estem volna,estél volna,esett volna,estünk volna,estetek volna,estek volna,,,,,,,,,,,,
hullni,fallen,hullok,hullsz,hull,hullunk,hulltok,hullnak,hulltam,hulltál,hullt,hulltunk,hulltatok,hulltak,hullnék,hullnál,hullna,hullnánk,hullnátok,hullnának,hulltam volna,hulltál volna,hullt volna,hulltunk volna,hulltatok volna,hulltak volna,,,,,,,,,,,,
tartozni,gehören,tartozom,tartozol,tartozik,tartozunk,tartoztok,tartoznak,tartoztam,tartoztál,tartozott,tartoztunk,tartoztatok,tartoztak,tartoznék,tartoznál,tartozna,tartoznánk,tartoznátok,tartoznának,tartoztam volna,tartoztál volna,tartozott volna,tartoztunk volna,tartoztatok volna,tartoztak volna,,,,,,,,,,,,
keletkezni,entstehen,keletkezem,keletkezel,keletkezik,keletkezünk,keletkeztek,keletkeznek,keletkeztem,keletkeztél,keletkezett,keletkeztünk,keletkeztetek,keletkeztek,keletkeznék,keletkeznél,keletkezne,keletkeznénk,keletkeznétek,keletkeznének,keletkeztem volna,keletkeztél volna,keletkezett volna,keletkeztünk volna,keletkeztetek volna,keletkeztek volna,,,,,,,,,,,,
szagolni,riechen,szagolok,szagolsz,szagol,szagolunk,szagoltok,szagolnak,szagolom,szagolod,szagolja,szagoljuk,szagoljátok,szagolják,szagoltam,szagoltál,szagolt,szagoltunk,szagoltatok,szagoltak,szagoltam,szagoltad,szagolta,szagoltuk,szagoltátok,szagolták,fogok szagolni,fogsz szagolni,fog szagolni,fogunk szagolni,fogtok szagolni,fognak szagolni,fogom szagolni,fogod szagolni,fogja szagolni,fogjuk szagolni,fogjátok szagolni,fogják szagolni
találkozni,treffen,találkozom,találkozol,találkozik,találkozunk,találkoztok,találkoznak,találkoztam,találkoztál,találkozott,találkoztunk,találkoztatok,találkoztak,találkoznék,találkoznál,találkozna,találkoznánk,találkoznátok,találkoznának,találkoztam volna,találkoztál volna,találkozott volna,találkoztunk volna,találkoztatok volna,találkoztak volna,,,,,,,,,,,,
keresni,suchen,keresek,keresel,keres,keresünk,kerestek,keresnek,keresem,keresed,keresi,keressük,keresitek,keresik,kerestem,kerestél,keresett,kerestünk,kerestetek,kerestek,kerestem,kerested,kereste,kerestük,kerestétek,keresték,fogok keresni,fogsz keresni,fog keresni,fogunk keresni,fogtok keresni,fognak keresni,fogom keresni,fogod keresni,fogja keresni,fogjuk keresni,fogjátok keresni,fogják keresni
rakni,legen,rakok,raksz,rak,rakunk,raktok,raknak,rakom,rakod,rakja,rakjuk,rakjátok,rakják,raktam,raktál,rakott,raktunk,raktatok,raktak,raktam,raktad,rakta,raktuk,raktátok,rakták,fogok rakni,fogsz rakni,fog rakni,fogunk rakni,fogtok rakni,fognak rakni,fogom rakni,fogod rakni,fogja rakni,fogjuk rakni,fogjátok rakni,fogják rakni
bemutatni,vorstellen jdm.,bemutatok,bemutatsz,bemutat,bemutatunk,bemutattok,bemutatnak,bemutatom,bemutatod,bemutatja,bemutatjuk,bemutatjátok,bemutatják,bemutattam,bemutattál,bemutatott,bemutattunk,bemutattatok,bemutattak,bemutattam,bemutattad,bemutatta,bemutattuk,bemutattátok,bemutatták,fogok bemutatni,fogsz bemutatni,fog bemutatni,fogunk bemutatni,fogtok bemutatni,fognak bemutatni,fogom bemutatni,fogod bemutatni,fogja bemutatni,fogjuk bemutatni,fogjátok bemutatni,fogják bemutatni
elképzelni,vorstellen sich etw.,elképzelek,elképzelsz,elképzel,elképzelünk,elképzeltek,elképzelnek,elképzelem,elképzeled,elképzeli,elképzeljük,elképzelitek,elképzelik,elképzeltem,elképzeltél,elképzelt,elképzeltünk,elképzeltetek,elképzeltek,elképzeltem,elképzelted,elképzelte,elképzeltük,elképzeltétek,elképzelték,fogok elképzelni,fogsz elképzelni,fog elképzelni,fogunk elképzelni,fogtok elképzelni,fognak elképzelni,fogom elképzelni,fogod elképzelni,fogja elképzelni,fogjuk elképzelni,fogjátok elképzelni,fogják elképzelni
